"NCESSCH","LEAID","TYPE","STATUS","ULOCAL","FTE","LEVEL","FRELCH","REDLCH","TOTFRL","MEMBER","G09","G10","G11","G12","AM09","AS09","HI09","BL09","WH09","HP09","TR09","AM10","AS10","HI10","BL10","WH10","HP10","TR10","AM11","AS11","HI11","BL11","WH11","HP11","TR11","AM12","AS12","HI12","BL12","WH12","HP12","TR12","ASIAN","HISP","BLACK","WHITE"
"010039000073","0100390","3","1","12",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8,-8,-8,-8
"010039000138","0100390","4","1","12",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-16,-16,-16,-16
"010039000141","0100390","1","1","12",66.9,"3",809,100,909,1271,484,283,241,263,1,0,14,462,7,0,0,0,0,6,272,4,0,1,0,0,4,235,2,0,0,0,2,3,255,3,0,0,2,27,1224,16
"010039000164","0100390","1","1","12",63.5,"3",917,56,973,1073,362,288,224,199,0,0,6,356,0,0,0,0,0,4,282,1,0,1,0,0,2,221,1,0,0,0,0,1,197,0,0,1,0,13,1056,2
"010039000165","0100390","1","1","12",53.5,"3",742,52,794,884,313,217,180,174,0,0,5,306,1,0,1,0,0,5,211,1,0,0,0,0,0,179,1,0,0,0,0,0,173,1,0,0,0,10,869,4
"010039000176","0100390","1","1","12",42,"3",351,109,460,758,251,205,182,120,0,0,2,247,2,0,0,0,1,0,203,1,0,0,0,0,1,180,1,0,0,0,0,0,117,3,0,0,1,3,747,7
"010039000192","0100390","1","1","12",48,"3",626,39,665,782,211,213,195,163,0,0,1,208,1,0,1,0,0,1,211,1,0,0,0,0,0,195,0,0,0,0,0,0,162,1,0,0,0,2,776,3
"010039000194","0100390","1","1","12",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-16,-16,-16,-16
"010039000198","0100390","1","1","12",47.6,"3",741,38,779,857,249,223,191,194,1,0,15,231,1,0,1,0,1,8,212,2,0,0,0,0,1,187,2,0,1,0,0,7,185,2,0,0,1,31,815,7
"010039001281","0100390","4","1","12",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-16,-16,-16,-16
